Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
W,2851,2715,153,-1,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,-121,-82,-19,84,12,
W,2851,0,63,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,0,-1,-18,-9,2,10,-1,
W,2851,2658,53,0,0,0,0,0,0,0,0,0,0,0,-5,5,0,0,19,-28,28,0,0,
W,2851,0,89,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-118,-14,44,10,1,
W,2851,2655,71,-1,1,0,0,0,-1,1,0,0,0,-4,-6,6,0,0,4,-26,26,4,1,
W,2851,0,49,0,0,0,0,0,0,-1,0,0,0,0,-7,7,0,1,12,-7,7,0,1,
W,2851,0,47,-2,0,0,0,0,-7,0,6,-7,0,-7,1,16,-17,0,-6,1,33,-34,0,
W,2851,0,55,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,81,-27,36,7,0,
W,2851,0,59,0,0,0,0,0,-1,0,0,0,0,-6,1,14,-7,0,-24,1,72,-36,0,
W,2851,0,49,1,0,0,0,0,1,0,0,0,0,2,-5,4,0,0,-3,-24,38,0,0,
W,2851,0,67,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-28,29,0,-1,
W,2851,2563,51,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,12,6,-7,0,0,
D,2851,2646,75,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,5,18,-16,-5,0,
W,2851,0,95,1,0,0,0,0,1,-1,2,0,0,3,-11,12,0,0,173,-77,-15,48,-1,
D,2851,2154,29,-1,4,-3,0,0,-1,14,-13,0,0,999,999,999,999,999,-1,23,-21,0,0,
W,2851,0,61,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,-3,-13,-6,15,
W,2851,0,47,0,0,0,0,0,0,0,0,0,1,0,-7,6,0,1,1,-11,20,0,1,
W,2851,2491,127,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,-59,6,32,1,-1,
W,2851,0,43,-5,0,0,0,0,-5,0,0,0,0,1,3,-3,0,0,15,8,-7,0,1,
W,2851,2694,105,-1,0,0,0,0,-1,10,-9,0,0,0,20,-19,0,0,71,62,46,-73,-1,
W,2851,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
W,2851,2594,77,-1,1,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,
W,2851,0,121,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,93,-30,33,0,2,
W,2851,2709,81,-1,0,0,0,0,-1,10,-9,0,0,-1,21,-19,0,0,5,28,-24,-1,-1,
D,2851,2769,66,-1,0,0,0,0,-1,1,0,0,0,-1,-6,8,0,0,4,-16,18,1,-1,
D,2851,2769,112,-1,0,0,0,0,0,1,0,0,0,0,-6,6,0,0,64,-14,14,-1,1,
W,2851,0,41,0,0,0,0,0,-1,0,0,0,0,-1,-3,2,0,0,-6,6,5,0,0,
W,2851,0,45,0,0,0,0,0,-1,0,0,0,0,15,8,-7,0,0,51,17,-22,0,1,
D,2851,2758,42,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,4,-1,1,0,0,
W,2851,0,123,0,0,1,0,0,-1,0,1,0,0,-15,-3,1,6,0,-162,-68,2,72,1,
W,2851,0,45,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,
W,2851,0,89,7,-3,2,0,0,7,-14,12,0,1,7,-24,22,0,1,21,-36,35,2,1,
W,2851,0,51,-7,0,0,0,0,-14,-4,2,0,0,-24,-14,12,0,0,-28,-18,25,22,-9,
D,2851,2769,59,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,-2,0,1,-1,0,
W,2851,0,75,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,-24,22,6,-2,0,
W,2851,2023,45,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,3,-2,0,0,0,
