Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
D,2800,2730,35,-3,0,0,0,0,-2,0,0,0,0,-2,0,0,0,-1,-2,1,0,0,-1,
D,2797,0,55,-3,0,0,0,0,-10,0,0,0,0,-10,0,0,0,0,-2,0,1,1,0,
W,2797,0,99,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,17,0,52,-29,1,
D,2797,2794,76,-5,0,0,0,0,-5,0,0,0,0,-4,-1,0,0,0,-58,19,28,23,-21,
D,2797,2749,45,-3,0,0,0,0,-4,0,0,0,0,-4,0,-1,0,0,-5,0,-1,-1,0,
D,2797,2794,68,-5,0,0,0,0,-6,0,0,0,0,-7,0,0,0,0,-62,31,-50,22,-1,
D,2797,2794,51,-5,0,0,0,0,-6,0,0,0,0,-11,0,0,0,0,-18,-1,0,-1,-1,
W,2797,2585,41,-5,0,0,0,0,-4,0,0,0,0,-4,-1,0,0,0,-9,-5,4,0,0,
W,2797,0,47,-5,0,0,0,0,-5,0,0,0,0,-5,1,0,0,0,-22,0,-1,0,0,
W,2797,2205,93,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,5,2,-1,-2,1,
D,2797,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,
W,2797,2712,119,0,0,0,0,0,-5,0,0,0,0,-4,0,0,0,1,57,78,-81,-8,1,
D,2797,2210,84,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-8,-9,10,-1,-1,
D,2797,0,33,-1,0,0,0,0,-5,0,0,0,0,-5,5,-5,0,0,-5,5,-5,0,0,
W,2797,2628,89,0,0,0,0,0,0,0,0,0,0,10,8,-7,0,0,49,32,-31,1,1,
W,2797,0,47,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-9,-1,1,0,0,
D,2797,2432,64,0,0,0,0,0,1,4,-3,0,0,1,14,-13,0,0,1,48,-46,1,1,
D,2797,2827,59,1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,14,-14,0,-1,
W,2797,2827,71,-3,0,0,0,0,-3,1,0,0,0,-2,1,0,0,0,0,1,-16,-1,-5,
D,2797,2722,110,0,0,0,0,0,0,-3,4,0,0,0,-13,14,0,-1,19,-44,45,0,0,
D,2797,0,42,0,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-12,1,1,-1,0,
D,2797,2827,114,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,-1,-1,
B,2797,2794,94,-5,0,0,0,0,-4,0,0,0,0,-5,0,0,1,0,164,-92,-66,42,1,
W,2797,0,61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,27,-16,0,0,
D,2797,2794,84,-5,0,0,0,0,-2,0,0,0,-1,-2,0,0,-1,-1,32,-1,0,0,-1,
D,2797,0,62,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,5,-12,14,0,0,
D,2797,2104,58,-1,0,0,0,0,-1,1,0,0,0,-1,-2,2,0,0,-2,-30,29,0,0,
D,2797,2794,50,-5,0,0,0,0,-6,0,0,0,0,-6,0,0,0,0,10,-1,0,0,0,
D,2795,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,
D,2795,2725,44,-1,1,0,0,0,-1,1,0,0,0,9,7,-1,-3,-1,37,12,7,-17,-1,
D,2795,0,124,1,0,0,0,0,0,0,0,0,0,5,3,-3,0,0,-7,2,-3,0,-1,
D,2795,2725,58,1,0,0,0,0,0,-5,5,0,0,0,-5,5,0,0,0,-5,5,0,1,
W,2795,2650,77,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,26,-8,-49,23,
D,2795,2700,93,-1,0,0,0,0,-1,0,0,0,0,-1,10,-9,0,0,42,30,-29,2,-1,
W,2795,2675,86,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-24,16,27,-27,0,
D,2795,2700,91,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-66,56,46,-50,3,
W,2795,2235,85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,16,-7,-5,1,
W,2795,2630,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,4,-43,40,-2,
W,2795,2665,145,0,0,0,0,0,-1,-3,1,0,0,-1,-3,1,0,1,-32,-69,-4,65,1,
D,2795,0,74,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,-25,24,0,0,
W,2795,2645,81,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-8,2,3,-2,-1,
W,2795,0,57,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,-3,
D,2795,2595,79,0,0,0,0,0,-1,-3,1,0,0,-1,-3,1,0,0,1,10,-15,1,1,
W,2795,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,
D,2795,2660,65,-1,0,0,0,0,-1,0,0,0,0,-1,-3,3,0,0,5,-3,10,-5,0,
B,2795,2740,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,1,0,
W,2795,2665,65,-1,0,0,0,0,-1,0,0,0,0,-2,-1,0,0,0,12,0,-1,0,-1,
W,2795,2605,131,-5,0,0,0,0,-6,0,0,0,0,-6,-7,8,0,0,96,6,-8,6,0,
W,2795,2625,37,1,0,0,0,0,2,-1,0,0,0,2,-1,0,0,1,5,6,-6,0,1,
D,2795,2725,55,-1,0,0,0,0,-5,0,0,0,0,-8,-7,7,0,0,-22,-23,8,15,-1,
B,2795,2730,126,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,-8,-52,17,2,1,
D,2795,0,100,0,0,0,0,0,-1,-1,0,0,0,-2,-1,0,0,0,7,-38,55,-16,0,
D,2795,2610,20,0,0,0,0,0,0,-7,6,0,0,999,999,999,999,999,0,-7,6,0,0,
D,2795,2730,52,0,0,0,0,0,-1,6,-5,0,0,-1,13,-11,0,0,0,12,-10,-1,-1,
W,2795,2655,53,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,16,1,1,0,1,
W,2795,2700,73,0,0,0,0,0,-5,0,0,0,0,-5,-3,4,0,0,-3,-53,26,29,0,
W,2795,0,54,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-11,-10,8,-1,0,
W,2795,2460,107,0,0,0,0,0,-5,0,0,0,0,-5,-2,0,0,0,29,-79,78,0,-1,
W,2795,2725,75,-1,0,0,0,0,-5,0,0,0,0,-11,-8,8,0,0,33,-53,56,-7,-1,
D,2795,2740,82,-1,0,0,0,0,-1,-1,0,0,0,-2,-1,0,0,0,-25,-52,49,0,0,
D,2795,2310,50,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-9,0,0,0,0,
W,2795,0,125,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,10,18,-20,-1,0,
W,2795,0,17,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,-1,0,0,0,0,
W,2795,2740,113,0,0,0,0,0,-1,-5,4,0,0,0,-15,14,0,0,6,-180,178,-2,0,
W,2795,0,79,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,-8,-47,47,0,4,
D,2795,2730,26,-1,0,0,0,0,-1,0,0,0,0,999,999,999,999,999,-1,0,0,0,0,
W,2795,2245,51,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-18,1,0,1,0,
W,2795,0,63,0,0,0,0,0,-1,2,0,0,0,-20,5,0,0,6,-64,16,2,-3,39,
W,2795,2725,81,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,-1,-1,-1,
W,2795,2600,105,-1,0,0,0,0,-5,0,0,0,0,-6,0,0,0,-1,44,-71,72,-1,-1,
W,2795,2725,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
W,2795,2225,53,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-21,19,-18,-1,0,
D,2795,2725,23,-1,0,0,0,0,-1,0,0,0,0,999,999,999,999,999,-1,0,0,0,0,
W,2795,0,7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
D,2795,2725,39,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,5,-6,0,0,
D,2795,2725,41,0,0,0,0,0,-1,0,0,0,0,-1,-9,8,0,0,10,-12,13,0,0,
W,2795,2665,96,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,7,17,25,-24,-1,
W,2795,0,146,0,0,0,0,0,-10,0,0,0,0,-10,-4,2,0,0,53,-12,11,2,-1,
W,2795,0,55,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-14,15,0,0,
D,2795,2680,40,-3,0,0,0,0,-3,1,0,0,0,-3,1,0,0,0,-3,1,0,0,0,
W,2795,0,60,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,12,-4,7,1,0,
W,2795,2780,69,3,0,0,0,0,3,0,0,0,0,3,-1,0,0,0,14,32,30,22,-24,
W,2795,0,71,0,0,0,0,0,0,-5,6,0,0,0,-14,16,0,0,3,-40,50,-6,0,
W,2795,2780,73,0,2,-1,0,0,0,12,-11,0,0,0,22,-21,0,0,0,41,-64,-21,23,
W,2795,0,30,0,0,0,0,0,0,-5,4,0,0,0,-15,14,0,0,0,-15,14,0,0,
D,2795,2725,59,0,0,0,0,0,4,-3,0,0,0,4,-13,10,0,0,25,-20,19,0,1,
W,2795,0,85,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-7,-36,37,0,0,
W,2795,2690,61,0,-1,0,0,0,-1,-11,10,0,0,-1,-21,19,0,0,0,-52,50,1,0,
W,2795,0,82,2,0,0,0,0,7,0,0,0,0,7,0,0,0,0,6,45,-45,0,0,
W,2795,0,61,0,6,-5,0,0,0,16,-15,0,0,0,21,-19,0,0,32,-1,-19,23,0,
W,2795,2550,103,0,0,0,0,0,1,4,-3,0,0,1,14,-13,0,0,82,60,-42,-24,-1,
W,2795,2625,77,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,20,9,-10,0,1,
W,2795,2715,63,0,0,0,0,0,0,-9,8,0,0,1,-19,18,0,0,-11,-26,50,0,0,
W,2795,2635,53,0,0,0,0,0,-4,-5,4,0,0,-14,-10,11,0,0,-32,-10,11,0,1,
D,2795,2725,86,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,19,4,-2,-7,1,
W,2794,2722,111,-1,0,0,0,0,-1,-1,0,0,0,-1,-11,10,0,0,48,-14,12,0,1,
D,2794,2730,95,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0,4,-63,62,0,-1,
B,2794,2018,94,-1,0,0,0,0,1,5,-3,0,0,11,14,-11,0,0,-5,14,-8,-3,1,
W,2794,0,101,-1,-3,2,0,0,-3,-13,12,0,0,-2,-23,22,0,0,69,2,57,9,-3,
W,2794,0,53,0,0,0,0,0,-1,10,-9,0,0,-1,25,-24,0,0,7,42,-47,5,0,
D,2794,2730,25,-1,0,0,0,0,-1,1,0,0,0,999,999,999,999,999,-1,1,-1,0,0,
W,2794,2508,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,22,60,-47,-1,
D,2794,0,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9,2,-1,1,-1,
D,2794,2706,55,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,2,-2,3,1,1,
D,2794,2797,91,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-72,44,-40,1,-1,
D,2794,2690,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,
D,2794,2744,41,3,0,0,0,0,3,0,0,0,0,6,-1,0,0,0,6,6,-8,0,0,
B,2794,2213,90,0,0,0,0,0,-3,-5,6,0,0,-9,-14,16,0,0,41,-22,14,-4,-2,
D,2794,2797,37,3,0,0,0,0,3,-1,0,0,0,-11,-9,9,0,0,-13,-9,9,0,1,
W,2794,2676,105,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,60,-28,-33,29,0,
W,2794,0,57,-1,0,0,0,0,-1,0,0,0,0,1,-3,0,0,0,15,-2,9,1,1,
D,2794,2722,136,0,0,0,0,0,-1,-1,0,0,0,-1,-3,1,0,0,-37,52,-92,45,0,
B,2794,2797,54,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,-1,43,-43,1,1,
W,2794,2524,71,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,22,-2,0,-3,0,
W,2794,2567,111,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-78,-107,36,72,1,
D,2794,2797,27,-3,2,-1,0,0,-5,11,-11,0,0,999,999,999,999,999,-5,18,-18,0,0,
W,2794,0,57,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,7,-1,-2,3,0,
D,2794,2730,112,3,0,0,0,0,3,-1,0,0,0,3,-1,0,-1,0,117,-1,-1,-2,-1,
W,2794,2518,92,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,26,-44,43,1,0,
D,2794,0,70,3,0,0,0,0,6,-3,2,0,0,6,-7,7,0,0,3,-6,8,-1,1,
D,2794,2802,33,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,
D,2794,2797,46,0,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,-1,-1,1,1,0,
B,2794,2730,98,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,51,-22,-37,-1,
B,2794,2711,168,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,23,-14,17,1,-1,
B,2794,2749,56,0,0,0,0,0,0,-9,8,0,0,3,-19,18,0,0,7,-35,34,0,1,
W,2794,2567,105,-1,0,0,0,0,-1,4,-3,0,0,-1,14,-13,0,0,-38,142,-46,-44,-1,
W,2792,2577,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-1,2,1,
W,2792,2607,123,0,0,0,0,0,0,0,0,0,0,7,-3,2,0,0,86,-38,38,0,1,
D,2792,2707,46,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,
W,2792,2723,131,-1,0,0,0,0,-1,0,0,0,0,-1,8,-7,0,0,194,30,64,-96,-1,
W,2792,2647,83,-1,0,0,0,0,-1,2,-1,0,0,-4,11,-11,0,0,13,46,-17,-29,1,
W,2792,2619,77,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,40,12,-10,-12,0,
W,2792,2633,87,-1,0,0,0,0,-1,-3,2,0,0,-2,-13,12,0,0,22,-26,29,1,-1,
D,2792,2717,98,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-63,56,-43,-5,1,
B,2792,2625,102,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-11,0,0,-1,-1,
D,2792,2801,35,0,0,0,0,0,7,10,-9,0,0,12,19,-17,0,0,16,19,-17,0,0,
W,2792,2644,75,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,34,-16,22,0,0,
B,2792,2670,86,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-69,55,-50,-2,1,
D,2792,2729,47,3,-1,0,0,0,3,-1,0,0,0,3,4,-5,0,0,3,4,-5,1,-1,
D,2792,2650,68,-1,0,0,0,0,-5,0,0,0,0,-5,7,-7,0,0,-3,45,-45,0,0,
B,2792,2711,68,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,2,33,-28,-3,0,
B,2792,2721,136,-1,0,0,0,0,-1,0,0,0,0,-1,-5,4,0,0,-5,-10,39,-26,1,
D,2792,2752,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,-44,-1,-1,
D,2792,2669,100,1,0,0,0,0,0,0,0,0,0,-9,0,-1,0,0,-31,0,-1,0,1,
D,2792,2647,109,-1,0,0,0,0,-1,1,0,0,0,6,1,0,0,0,-107,52,-123,70,1,
D,2792,2709,44,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-12,-3,1,4,0,
W,2792,2740,97,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,34,1,2,0,-1,
W,2792,2723,101,3,0,0,0,0,3,-1,0,0,0,3,-1,1,0,0,47,-16,14,0,0,
W,2792,2765,105,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-32,-28,36,0,0,
W,2792,2752,145,-1,0,0,0,0,-6,1,0,0,0,-6,1,0,0,0,113,0,4,-1,-1,
W,2792,2740,133,-1,0,0,0,0,-5,0,0,0,0,-5,7,-7,0,0,62,110,-111,0,1,
W,2790,2100,103,-7,0,0,0,0,-24,0,1,0,0,-26,-3,-2,0,0,20,6,-2,1,1,
W,2790,2005,65,1,0,0,0,0,0,0,0,0,0,0,-3,4,0,0,6,-28,50,-11,1,
D,2790,2740,65,1,-1,0,0,0,0,-1,0,0,0,-9,-1,0,0,0,-21,-29,26,0,0,
W,2790,2700,59,-1,0,0,0,0,0,1,0,0,0,-12,1,-3,0,0,-41,1,-32,-12,13,
D,2790,2718,37,-1,0,0,0,0,-1,1,1,0,0,0,1,1,0,0,0,6,-5,1,0,
W,2790,2745,121,-1,0,0,0,0,-1,-3,2,0,0,-2,-13,12,0,0,-141,-52,103,0,-1,
W,2790,0,69,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-1,-1,-1,-1,
W,2790,0,89,4,0,0,0,0,15,0,0,0,0,25,0,1,0,0,108,14,-10,0,1,
D,2790,2640,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-58,0,122,-82,1,
W,2790,2632,45,3,0,0,0,0,3,-1,0,0,0,3,-1,0,-1,0,2,-1,0,-1,0,
W,2790,2675,79,0,0,0,0,0,0,-3,4,0,0,1,-12,14,0,0,-56,-32,63,1,1,
W,2790,2575,95,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,42,0,-49,-46,47,
W,2790,0,96,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-31,2,-27,29,-3,
W,2790,2630,73,0,0,0,0,0,0,0,0,0,0,2,4,-5,0,0,-2,-12,14,-1,0,
D,2790,2710,92,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,16,-26,25,-2,1,
D,2790,2770,87,0,-1,0,0,0,-1,-11,10,0,0,-1,-21,20,-1,0,-5,-49,49,-2,-1,
B,2790,2718,60,-1,0,0,0,0,-1,4,-3,0,0,-1,14,-13,0,0,0,44,-43,0,0,
D,2790,2710,67,1,-1,0,0,0,1,-1,0,0,0,8,-1,-1,-1,0,37,32,-35,0,1,
W,2790,2690,57,0,0,0,0,0,-3,0,0,0,0,-3,3,-5,0,0,-22,-3,-4,5,0,
W,2790,2355,155,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,-2,0,1,
W,2790,2632,101,3,0,0,0,0,3,0,0,0,0,8,-4,4,0,0,65,-72,75,2,0,
W,2790,2680,35,-1,0,0,0,0,-1,-4,2,0,0,10,-14,12,0,0,13,-19,20,0,0,
W,2790,2095,76,0,6,-5,0,0,-1,7,-7,0,0,-1,7,-7,0,0,-13,15,-10,0,-1,
D,2790,2650,110,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-79,79,1,1,
D,2790,2770,40,0,-1,0,0,0,-1,-11,10,-1,0,0,-21,20,-1,0,0,-31,30,-2,0,
D,2790,2630,97,0,0,0,0,0,-1,-3,2,0,0,-2,-13,12,0,0,-7,-37,38,-1,1,
D,2790,2745,66,-5,0,0,0,0,-11,-9,8,0,0,-11,-19,17,0,0,-24,-48,46,0,0,
W,2790,2220,55,0,4,-3,0,0,-2,14,-13,0,0,-2,23,-21,0,0,19,23,-21,1,0,
W,2790,0,93,1,-1,0,0,0,1,-1,0,0,0,2,-10,8,0,0,25,-50,52,-1,1,
W,2790,2195,73,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-12,-29,31,2,0,
D,2790,2740,61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,-30,1,0,
W,2790,2295,57,0,0,0,0,0,0,-7,6,0,0,1,-17,16,0,0,9,-39,37,0,-1,
D,2790,2075,73,0,0,0,0,0,-1,-1,0,0,0,-2,0,0,0,0,-3,0,1,-1,1,
W,2790,2740,95,1,0,0,0,0,-2,0,-1,0,1,-6,0,-1,0,1,-57,38,-2,-3,1,
W,2790,2240,69,-3,0,0,0,0,-5,10,-10,0,1,-5,20,-20,0,1,-5,48,-50,-2,1,
B,2790,2566,50,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,10,-2,-11,12,0,
W,2790,2640,113,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,67,1,0,1,-1,
D,2790,2710,92,0,0,0,0,0,0,0,0,0,0,0,4,-5,0,0,-85,-16,14,1,-1,
D,2790,2710,130,1,-1,0,0,0,1,-1,0,0,0,-3,-1,0,0,0,51,-2,5,0,1,
D,2790,0,69,0,0,0,0,0,-3,0,0,0,0,-3,8,-7,0,0,-3,10,-7,-2,0,
D,2790,2670,82,0,-1,0,0,0,3,-11,10,0,0,3,-11,11,0,0,31,17,-12,-3,0,
D,2790,2770,45,1,0,0,0,0,0,-1,0,0,0,-9,-2,0,0,0,-12,-8,5,0,1,
W,2790,2345,81,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-3,-25,24,0,-1,
W,2790,2690,74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,46,-74,72,0,0,
W,2790,0,45,0,-1,0,0,0,1,-11,10,0,0,1,-21,20,0,0,0,-32,33,0,0,
W,2790,1905,53,0,0,0,0,0,0,10,-9,0,0,0,20,-19,0,0,6,31,-33,-1,0,
D,2790,2430,64,-1,1,0,0,0,1,1,0,0,0,1,2,2,0,0,3,2,2,0,0,
B,2790,2710,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122,40,-89,52,4,
W,2790,2795,55,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-7,13,-13,0,0,
D,2790,2770,76,1,0,0,0,0,0,-7,6,0,0,0,-17,16,0,0,12,-62,61,1,1,
D,2790,2772,47,0,0,0,0,0,0,-1,1,0,0,-1,-1,1,0,0,0,0,2,0,0,
B,2790,2575,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
D,2790,2825,51,1,-1,0,0,0,0,-1,0,0,0,-9,-1,0,0,0,-9,-18,17,0,0,
W,2790,2690,129,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,126,-32,32,-1,1,
W,2790,1970,97,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-3,2,-1,1,-1,
W,2790,0,125,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,152,-12,92,-80,-1,
W,2790,0,47,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-3,-1,4,0,0,
W,2790,2700,67,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,19,16,-15,0,0,
W,2790,2825,103,0,0,0,0,0,-2,0,0,0,0,8,0,2,-3,0,72,-59,70,-11,1,
W,2790,2580,57,0,0,0,0,0,0,0,0,0,0,0,-3,2,0,0,2,-6,5,1,0,
D,2790,2710,84,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-18,-50,33,19,1,
D,2790,2680,47,-1,0,0,0,0,-1,0,0,0,0,-2,-9,8,0,0,1,-22,17,0,1,
W,2790,0,85,0,0,0,0,0,-1,0,1,0,0,-1,-1,1,0,0,2,20,2,-22,1,
W,2790,2565,81,0,0,0,0,0,-1,2,-1,0,0,-1,-4,3,0,0,51,-55,54,1,1,
D,2790,2770,67,0,-1,0,0,0,0,-11,10,0,0,1,-21,20,0,0,-4,-57,58,0,0,
W,2790,2050,76,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,31,0,3,0,-1,
D,2790,2770,39,1,0,0,0,0,1,0,0,0,1,1,-5,6,0,1,1,-13,15,0,1,
W,2790,2605,91,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,50,14,-12,0,1,
W,2790,2625,51,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,18,23,-21,0,0,
W,2790,2740,103,1,0,0,0,0,1,0,0,0,0,1,-5,6,0,1,48,-41,42,-1,1,
D,2790,2635,43,0,-1,0,0,0,0,-11,10,0,0,-1,-21,20,-1,0,-1,-35,33,0,0,
W,2790,2660,62,-1,0,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-41,-16,-7,19,0,
D,2790,2745,68,-1,0,0,0,0,-1,2,-1,0,0,-1,12,-11,0,0,20,68,-66,-1,-1,
W,2790,1995,57,0,0,0,0,0,0,-1,0,0,0,-1,-2,0,0,0,51,-2,-27,-1,0,
D,2790,2670,103,-3,0,0,0,0,-3,0,0,0,0,-5,0,0,0,0,-111,2,2,-1,-1,
W,2790,1980,111,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-64,58,78,22,-52,
D,2790,2740,116,0,0,0,0,0,0,-6,4,0,0,-8,-18,24,0,-1,73,-28,42,-7,-1,
D,2790,2635,59,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,6,-15,13,0,0,
W,2790,2580,91,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,97,-18,58,-38,-1,
D,2790,2740,49,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,
W,2790,2717,85,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-12,-1,0,1,-1,
D,2790,2710,67,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,3,10,1,-9,1,
W,2790,1960,67,-3,0,0,0,0,-7,0,0,0,0,0,-1,0,0,0,-3,-1,1,0,1,
W,2790,2645,91,-3,0,0,0,0,-6,0,0,0,0,-6,0,0,0,0,31,-17,20,2,0,
D,2790,2735,112,0,0,0,0,0,1,0,0,0,0,-3,4,-5,0,0,-82,58,-42,4,-1,
W,2790,2245,73,1,0,0,0,0,1,-9,8,0,0,1,-18,18,0,0,-11,-58,62,2,0,
B,2790,2770,74,0,0,0,0,0,-1,-9,8,0,0,-1,-18,18,0,0,-30,-62,62,-2,1,
W,2790,2575,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-44,52,-2,-1,
W,2790,2597,89,-1,0,0,0,0,-1,0,0,0,0,-1,-4,1,0,0,-11,-4,0,-15,13,
W,2790,2605,45,0,0,1,0,0,-1,0,1,0,0,-2,1,1,0,0,-1,-1,2,3,0,
W,2790,2655,103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,-37,18,26,0,
D,2790,2740,110,1,-1,0,0,0,0,-1,0,0,0,-9,-4,2,0,0,-36,-16,-44,56,0,
W,2790,2679,47,0,0,0,0,0,-5,0,0,0,0,-31,0,8,0,0,-82,0,25,0,0,
W,2790,2550,63,1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,0,
W,2790,2712,83,-1,0,0,0,0,-1,0,0,0,0,-1,-3,3,0,0,22,-3,3,0,1,
W,2790,2690,59,1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-17,4,-7,1,-1,
W,2790,2200,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,-69,70,2,-1,
D,2790,2770,65,0,-1,0,0,0,1,0,0,0,0,7,0,0,0,0,48,0,7,-8,-1,
D,2790,0,72,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,16,8,1,-1,-1,
